fingerprint,review_id,app_id,app_name,country,rating,title,content,original_content,author,version,review_date,is_most_helpful,source,is_short,is_spam
5e1a9caa05606d6a987eb19c2a0412b42137ddb3d328848d507fed8e8e90db45,14566273923,1012871328,得物,cn,1,想学其他平台售后，售后服务稀烂无保障,于2025.10.23买了一个华为手环10，由于是送朋友的礼物，加购了一个29的两年内，只换不修的服务。在26年9月充不进电了，一年不到就白费。寄出之前，就一直申请不通过，说单号不一致。在此期间，售后界面更新了三次，平台也要了三次一样的界面截图，提供单号也一样。足以可见，他们这个售后有多草台，有顾客需要了才去完善售后服务吗？终于寄出后，以表面有磨损的理由拒绝换新哈哈哈，以后都别买这个平台的东西，淘宝京东甚至拼多多，没有哪一家的售后服务是这样的。,于2025.10.23买了一个华为手环10，由于是送朋友的礼物，加购了一个29的两年内，只换不修的服务。在26年9月充不进电了，一年不到就白费。寄出之前，就一直申请不通过，说单号不一致。在此期间，售后界面更新了三次，平台也要了三次一样的界面截图，提供单号也一样。足以可见，他们这个售后有多草台，有顾客需要了才去完善售后服务吗？终于寄出后，以表面有磨损的理由拒绝换新哈哈哈，以后都别买这个平台的东西，淘宝京东甚至拼多多，没有哪一家的售后服务是这样的。,被快递100坑过的倒霉蛋,6.0.5,2026-09-19T00:33:19Z,False,itunes_rss_mostRecent,False,False
9fbf5d240e6b125d482f60d5e19644c0384cd98dfadd6f5f917a1c59a2d98f69,14564698785,1012871328,得物,cn,5,78,91,91,fujdeuihdsdfgyujjhhhjhjh,6.0.5,2026-09-18T15:26:20Z,False,itunes_rss_mostRecent,True,False
0dd7b6ea936d5286ce043ad1121d6e6135d8b39466e91255385f5e6813c85dd6,14564323445,1012871328,得物,cn,5,好用,好好好,好好好,庆小懂,6.0.3,2026-09-18T13:40:57Z,False,itunes_rss_mostRecent,False,False
7382305f4e727357875eafaa9851c744fda347ec51ccbf8c61d60453d0ae06d0,14564319749,1012871328,得物,cn,1,垃圾,我搜索汽水音乐 第一个出来的这玩意，垃圾平台，看到得物就恶心,我搜索汽水音乐 第一个出来的这玩意，垃圾平台，看到得物就恶心,他郎士孔,6.0.5,2026-09-18T13:39:54Z,False,itunes_rss_mostRecent,False,False
66c9a2b5d1a77a4abe8ad01e5f528970a7db56d67e94f5bb813d6f08090cd980,14564305613,1012871328,得物,cn,1,强盗软件一分都不想给,买了个阿迪鞋子发过来大小码，差的离谱，做工质量也差感觉像假货，申请退款也是审核半天就不通过，找人工也装死，真是再也不想用这个强盗软件了，上网查很多人都有这种情况都被投诉删评，估计这个评分也是刷的,买了个阿迪鞋子发过来大小码，差的离谱，做工质量也差感觉像假货，申请退款也是审核半天就不通过，找人工也装死，真是再也不想用这个强盗软件了，上网查很多人都有这种情况都被投诉删评，估计这个评分也是刷的,mil__a,6.0.5,2026-09-18T13:35:53Z,False,itunes_rss_mostRecent,False,False
264842ab192d0ca1936e95dfb7865d99c144ea6559727082a4bd81fea849f109,14563570033,1012871328,得物,cn,1,卖奢侈品还是假货,卖了就不处理 买贵的都避雷 不要在这上面买,卖了就不处理 买贵的都避雷 不要在这上面买,ZzXsYy N,6.0.5,2026-09-18T09:28:50Z,False,itunes_rss_mostRecent,False,False
5ffe24bf72e58c517ed3f74e111a01cfb0b66b77721a5a2b3b003e6de48ef349,14563340575,1012871328,得物,cn,1,垃圾app,假货app,假货app,jiahuo123,6.0.5,2026-09-18T07:46:28Z,False,itunes_rss_mostRecent,False,False
f8b1a444820ad6894e62b48b252784bb8804d60a7851c8ab5cfd7b49a84148c9,14563332803,1012871328,得物,cn,5,好,好,好,你上课苏比克,6.0.3,2026-09-18T07:42:50Z,False,itunes_rss_mostRecent,True,False
abe3963ff2dda93ffa05e9bcd96aaf0135d07316167197f8e5d5abaad526a55f,14562995858,1012871328,得物,cn,5,分类管理方便快捷,使用的体验感好 满意,使用的体验感好 满意,yao19700888,6.0.5,2026-09-18T05:05:21Z,False,itunes_rss_mostRecent,False,False
426c1c5f16ca4db73c6c5280f333a30eb2ca49c7a7109d44894e642068172460,14562877386,1012871328,得物,cn,1,垃圾平台,假货多 ，退换都是骗人的会封号,假货多 ，退换都是骗人的会封号,爱雪的冬天,6.0.5,2026-09-18T04:09:51Z,False,itunes_rss_mostRecent,False,False
6a348f01d3835dfcbafb9d44620b456ea9473c6ed4d912044f8281996346a07d,14562760152,1012871328,得物,cn,1,不退货退款,压根就是强行让人买东西，客服根本不解决问题一直用同样话术敷衍，说拦截失败不能退，到了这边拒收他们又肯定想说东西怎么怎么样，不肯对钱，我看到很多得物上买东西退货退款不退还不给人家退钱的太多了，就是一个垃圾app强盗一样,压根就是强行让人买东西，客服根本不解决问题一直用同样话术敷衍，说拦截失败不能退，到了这边拒收他们又肯定想说东西怎么怎么样，不肯对钱，我看到很多得物上买东西退货退款不退还不给人家退钱的太多了，就是一个垃圾app强盗一样,强卖不肯退货退款,6.0.5,2026-09-18T03:16:40Z,False,itunes_rss_mostRecent,False,False
534cde0f9000310831c341896ba51aac9a9b98db0578788a37da2ed6f877b511,14562469447,1012871328,得物,cn,1,哈哈,垃圾软件，里面的东西都要钱的,垃圾软件，里面的东西都要钱的,8yyz,6.0.5,2026-09-18T01:16:47Z,False,itunes_rss_mostRecent,False,False
f2c8191e60730464948e2c734f576eb1f026d39b55f449222ecaa66d4cbf674c,14562278521,1012871328,得物,cn,5,Nice,Nice,Nice,jarndiss,6.0.5,2026-09-18T00:01:28Z,False,itunes_rss_mostRecent,False,False
eeb50340dc44a5552e5020365dd89a2d605020afc91f7b89c16d6679546fe487,14560752193,1012871328,得物,cn,4,很喜欢,用了好久,用了好久,五星级的标准化,6.0.3,2026-09-17T15:11:10Z,False,itunes_rss_mostRecent,False,False
